word,jyutping
凋零,diu1 ling4
凌晨,ling4 san4
凝固,jing4 gu3
凝結,jing4 git3
凝視,jing4 si6
凱旋,hoi2 syun4
出任,ceot1 jam6
出兵,ceot1 bing1
出動,ceot1 dung6
出售,ceot1 sau6
出國,ceot1 gwok3
出土,ceot1 tou2
出場,ceot1 coeng4
出嫁,ceot1 gaa3
出擊,ceot1 gik1
出於,ceot1 jyu1
出版,ceot1 baan2
出租,ceot1 zou1
出線,ceot1 sin3
出賣,ceot1 maai6
出路,ceot1 lou6
出身,ceot1 san1
出錯,ceot1 co3
出面,ceot1 min6
分佈,fan1 bou3
分化,fan1 faa3
分外,fan6 ngoi6
分布,fan1 bou3
分手,fan1 sau2
分擔,fan1 daam1
分散,fan1 saan3
分明,fan1 ming4
分析,fan1 sik1
分歧,fan1 kei4
分泌,fan1 bei3
分裂,fan1 lit6
分解,fan1 gaai2
分貝,fan1 bui3
分隔,fan1 gaak3
分離,fan1 lei4
切勿,cit3 mat6
切實,cit3 sat6
刊物,hon1 mat6 / hon2 mat6
刊登,hon1 dang1 / hon2 dang1
刑事,jing4 si6
刑罰,jing4 fat6
刑警,jing4 ging2
列強,lit6 koeng4
初中,co1 zung1
初期,co1 kei4
判別,pun3 bit6
判斷,pun3 dyun3
判決,pun3 kyut3
判處,pun3 cyu2
別墅,bit6 seoi5 / bit6 seoi6
別緻,bit6 zi3
利害,lei6 hoi6
利弊,lei6 bai6
利息,lei6 sik1
利潤,lei6 jeon6
利率,lei6 leot6 [lei6 leot2]
利益,lei6 jik1
刪除,saan1 ceoi4
到手,dou3 sau2
制定,zai3 ding6
制度,zai3 dou6
制止,zai3 zi2
制裁,zai3 coi4
制訂,zai3 ding3
刷新,caat3 san1
刺激,ci3 gik1
刺繡,ci3 sau3
刻意,hak1 ji3
削弱,soek3 joek6
削減,soek3 gaam2
前人,cin4 jan4
前夕,cin4 zik6
前提,cin4 tai4
前景,cin4 ging2
前瞻,cin4 zim1
前程,cin4 cing4
前線,cin4 sin3
前輩,cin4 bui3
前途,cin4 tou4
前進,cin4 zeon3
前鋒,cin4 fung1
剎那,saat3 naa5
剝削,mok1 soek3
副食,fu3 sik6
割讓,got3 joeng6
創作,cong3 zok3
創傷,cong1 soeng1
創意,cong3 ji3
創新,cong3 san1
創業,cong3 jip6
創立,cong3 lap6 / cong3 laap6
創製,cong3 zai3
創造,cong3 zou6
劃分,waak6 fan1
劇團,kek6 tyun4
劇場,kek6 coeng4
劇情,kek6 cing4
劇本,kek6 bun2
劇烈,kek6 lit6
力求,lik6 kau4
力爭,lik6 zang1
功效,gung1 haau6
功績,gung1 zik1
功能,gung1 nang4
功臣,gung1 san4
加以,gaa1 ji5
加劇,gaa1 kek6
加工,gaa1 gung1
加深,gaa1 sam1
加盟,gaa1 mang4
助理,zo6 lei5
助長,zo6 zoeng2
効力,haau6 lik6
勉勵,min5 lai6
勉強,min5 koeng5
動力,dung6 lik6
動員,dung6 jyun4
動態,dung6 taai3
動機,dung6 gei1
動用,dung6 jung6
動脈,dung6 mak6
動蕩,dung6 dong6
動靜,dung6 zing6
勛章,fan1 zoeng1
勝任,sing1 jam6
勝負,sing3 fu6
勞工,lou4 gung1
勞役,lou4 jik6
勢力,sai3 lik6
勢必,sai3 bit1
勤儉,kan4 gim6
勸諭,hyun3 jyu6
勾結,ngau1 git3
包容,baau1 jung4
化合,faa3 hap6
化學,faa3 hok6
化石,faa3 sek6
化粧,faa3 zong1
化驗,faa3 jim6
匪徒,fei2 tou4
匯報,wui6 bou3
匯演,wui6 jin2
區分,keoi1 fan1
區別,keoi1 bit6
區域,keoi1 wik6
千瓦,cin1 ngaa5
半島,bun3 dou2
半徑,bun3 ging3
卑鄙,bei1 pei2
卓越,coek3 jyut6
協作,hip3 zok3
協商,hip3 soeng1
協定,hip3 ding6
協會,hip3 wui6 [hip3 wui2]
協調,hip3 tiu4
協議,hip3 ji5
南下,naam4 haa6
