word,jyutping
如火如荼,jyu4 fo2 jyu4 tou4
如痴如醉,jyu4 ci1 jyu4 zeoi3
如臨大敵,jyu4 lam4 daai6 dik6
如虎添翼,jyu4 fu2 tim1 jik6
如詩如畫,jyu4 si1 jyu4 waa2
如釋重負,jyu4 sik1 cung5 fu6
如魚得水,jyu4 jyu4 dak1 seoi2
妄自菲薄,mong5 zi6 fei2 bok6
妙趣橫生,miu6 ceoi3 waang4 saang1
始作俑者,ci2 zok3 jung2 ze2
始料不及,ci2 liu6 bat1 kap6
姹紫嫣紅,caa3 zi2 jin1 hung4
威風凜凜,wai1 fung1 lam5 lam5
嫉惡如仇,zat6 ok3 jyu4 sau4
嬌生慣養,giu1 sang1 gwaan3 joeng5
字裏行間,zi6 leoi5 hong4 gaan1
孜孜不倦,zi1 zi1 bat1 gyun6
孝子賢孫,haau3 zi2 jin4 syun1
孤掌難鳴,gu1 zoeng2 naan4 ming4
孤苦伶仃,gu1 fu2 ling4 ding1
孤陋寡聞,gu1 lau6 gwaa2 man4
學以致用,hok6 ji5 zi3 jung6
守株待兔,sau2 zyu1 doi6 tou3
安枕無憂,on1 zam2 mou4 jau1
完璧歸趙,jyun4 bik1 gwai1 ziu6
完美無瑕,jyun4 mei5 mou4 haa4
害群之馬,hoi6 kwan4 zi1 maa5
富麗堂皇,fu3 lai6 tong4 wong4
寢食不安,cam2 sik6 bat1 on1
寥寥可數,liu4 liu4 ho2 sou2
實實在在,sat6 sat6 zoi6 zoi6
實而不華,sat6 ji4 bat1 waa4
實至名歸,sat6 zi3 ming4 gwai1
寶刀未老,bou2 dou1 mei6 lou5
寸步不離,cyun3 bou6 bat1 lei4
寸步難行,cyun3 bou6 naan4 hang4
將信將疑,zoeng1 seon3 zoeng1 ji4
尋根究柢,cam4 gan1 gau3 dai2
小巧玲瓏,siu2 haau2 ling4 lung4
小題大做,siu2 tai4 daai6 zou6
少見多怪,siu2 gin3 do1 gwaai3
屢見不鮮,leoi5 gin3 bat1 sin2
山明水秀,saan1 ming4 seoi2 sau3
岌岌可危,kap1 kap1 ho2 ngai4
崇山峻嶺,sung4 saan1 zeon3 ling5
川流不息,cyun1 lau4 bat1 sik1
左右逢源,zo2 jau6 fung4 jyun4
巧奪天工,haau2 dyut6 tin1 gung1
巧立名目,haau2 laap6 ming4 muk6
差強人意,caa1 koeng5 jan4 ji3
平分秋色,ping4 fan1 cau1 sik1
平平無奇,ping4 ping4 mou4 kei4
平心而論,ping4 sam1 ji4 leon6
平心靜氣,ping4 sam1 zing6 hei3
平易近人,ping4 ji6 gan6 jan4
年富力強,nin4 fu3 lik6 koeng4
座無虛席,zo6 mou4 heoi1 zik6
康莊大道,hong1 zong1 daai6 dou6
廢寢忘餐,fai3 cam2 mong4 caan1
延年益壽,jin4 nin4 jik1 sau6
建功立業,gin3 gung1 laap6 jip6
弄巧反拙,lung6 haau2 faan2 zyut6
弄虛作假,lung6 heoi1 zok3 gaa2
引人注目,jan5 jan4 zyu3 muk6
引以為榮,jan5 ji5 wai4 wing4
弱不禁風,joek6 bat1 kam1 fung1
弱肉強食,joek6 juk6 koeng4 sik6
張燈結綵,zoeng1 dang1 git3 coi2
張牙舞爪,zoeng1 ngaa4 mou5 zaau2
形形色色,jing4 jing4 sik1 sik1
形影不離,jing4 jing2 bat1 lei4
彬彬有禮,ban1 ban1 jau5 lai5
待人接物,doi6 jan4 zip3 mat6
後來居上,hau6 loi4 geoi1 soeng5
後繼無人,hau6 gai3 mou4 jan4
後起之秀,hau6 hei2 zi1 sau3
徒勞無功,tou4 lou4 mou4 gung1
得不償失,dak1 bat1 soeng4 sat1
得意忘形,dak1 ji3 mong4 jing4
得意洋洋,dak1 ji3 joeng4 joeng4
得過且過,dak1 gwo3 ce2 gwo3
從一而終,cung4 jat1 ji4 zung1
從容不迫,sung1 jung4 bat1 bik1
從長計議,cung4 coeng4 gai3 ji5
循循善誘,ceon4 ceon4 sin6 jau5
徹頭徹尾,cit3 tau4 cit3 mei5
心不在焉,sam1 bat1 zoi6 jin4
心中有數,sam1 zung1 jau5 sou3
心安理得,sam1 on1 lei5 dak1
